City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Salinas,US,2022-08-28 16:31:45,36.6777,-121.6555,62.69,82,100,4.61
1,Russkaya Polyana,UA,2022-08-28 16:32:14,49.417,31.9201,75.51,39,55,4.14
2,Port Lincoln,AU,2022-08-28 16:30:45,-34.7333,135.8667,55.22,84,93,12.5
3,Rikitea,PF,2022-08-28 16:32:14,-23.1203,-134.9692,71.87,76,100,24.38
4,Esperance,AU,2022-08-28 16:27:44,-33.8667,121.9,52.21,60,100,9.86
5,Kargopol,RU,2022-08-28 16:32:15,61.5071,38.9456,67.57,67,37,3.29
6,Aklavik,CA,2022-08-28 16:32:15,68.2191,-135.0107,46.4,100,100,9.22
7,Acari,PE,2022-08-28 16:32:15,-15.4311,-74.6158,75.36,47,62,9.84
8,Albany,US,2022-08-28 16:27:53,42.6001,-73.9662,77.72,75,2,4.0
9,Puerto Ayora,EC,2022-08-28 16:32:16,-0.7393,-90.3518,76.96,83,97,5.01
10,Mahebourg,MU,2022-08-28 16:32:16,-20.4081,57.7,72.25,88,75,9.22
11,Staroaleyskoye,RU,2022-08-28 16:32:16,51.0061,82.0,54.19,41,3,11.21
12,Carnarvon,AU,2022-08-28 16:32:16,-24.8667,113.6333,63.21,57,0,19.84
13,Bathsheba,BB,2022-08-28 16:32:17,13.2167,-59.5167,90.21,66,40,16.11
14,Nishihara,JP,2022-08-28 16:32:17,26.1842,127.7558,84.25,84,40,2.3
15,New Norfolk,AU,2022-08-28 16:32:17,-42.7826,147.0587,48.92,70,100,2.55
16,Dzhebariki-Khaya,RU,2022-08-28 16:32:17,62.2167,135.8,48.24,76,42,0.4
17,Townsville,AU,2022-08-28 16:32:18,-19.25,146.8,70.68,73,100,17.27
18,Khatanga,RU,2022-08-28 16:32:18,71.9667,102.5,33.98,79,43,5.14
19,Faanui,PF,2022-08-28 16:32:18,-16.4833,-151.75,76.8,75,9,8.95
20,Georgetown,MY,2022-08-28 16:32:19,5.4112,100.3354,80.53,93,40,5.99
21,Haukipudas,FI,2022-08-28 16:32:19,65.1765,25.3523,59.05,74,28,12.01
22,Belen,TR,2022-08-28 16:32:19,36.4891,36.2233,78.94,54,0,12.66
23,Punta Arenas,CL,2022-08-28 16:32:19,-53.15,-70.9167,46.51,66,75,24.16
24,Nikolskoye,RU,2022-08-28 16:32:20,59.7035,30.7861,82.29,51,62,3.96
25,Asfi,MA,2022-08-28 16:32:20,32.2994,-9.2372,71.29,76,51,13.89
26,Atuona,PF,2022-08-28 16:32:20,-9.8,-139.0333,77.18,70,21,24.14
27,Kodiak,US,2022-08-28 16:32:20,57.79,-152.4072,51.31,87,100,10.36
28,Avera,US,2022-08-28 16:32:21,33.194,-82.5271,86.56,51,84,9.22
29,Jamestown,US,2022-08-28 16:30:31,42.097,-79.2353,83.01,54,0,4.61
30,Kampene,CD,2022-08-28 16:32:21,-3.6,26.6667,71.46,84,43,3.33
31,Kapaa,US,2022-08-28 16:32:21,22.0752,-159.319,77.32,76,20,14.97
32,Korla,CN,2022-08-28 16:32:21,41.7597,86.1469,74.89,30,41,4.36
33,Pisz,PL,2022-08-28 16:32:22,53.6274,21.8125,77.5,41,25,3.62
34,Port Alfred,ZA,2022-08-28 16:32:22,-33.5906,26.891,58.17,88,1,1.99
35,San Luis De Palenque,CO,2022-08-28 16:32:22,5.4214,-71.7317,88.9,54,30,4.74
36,Tari,NG,2022-08-28 16:32:22,12.4086,4.4914,78.01,80,92,6.24
37,Mazatlan,MX,2022-08-28 16:30:34,23.2167,-106.4167,87.03,81,40,1.99
38,Praia Da Vitoria,PT,2022-08-28 16:32:23,38.7333,-27.0667,77.25,65,20,15.26
39,Margate,GB,2022-08-28 16:30:30,51.3813,1.3862,69.91,67,100,5.99
40,Ribeira Grande,PT,2022-08-28 16:32:23,38.5167,-28.7,77.4,69,75,12.66
41,Bethel,US,2022-08-28 16:32:23,41.3712,-73.414,79.63,72,100,8.05
42,Mataura,NZ,2022-08-28 16:32:23,-46.1927,168.8643,35.37,98,12,2.48
43,Port Elizabeth,ZA,2022-08-28 16:32:24,-33.918,25.5701,61.11,78,0,5.75
44,San Patricio,US,2022-08-28 16:32:24,28.017,-97.5169,91.26,57,10,9.13
45,Paamiut,GL,2022-08-28 16:33:24,61.994,-49.6678,43.74,60,100,2.8
46,Metro,ID,2022-08-28 16:33:24,-5.1131,105.3067,74.16,92,77,3.6
47,Klichka,RU,2022-08-28 16:33:25,50.4457,117.996,50.9,63,49,3.06
48,Havoysund,NO,2022-08-28 16:33:25,70.9963,24.6622,52.03,90,99,10.56
49,Brae,GB,2022-08-28 16:33:25,60.3964,-1.353,52.59,65,5,10.13
50,Bambous Virieux,MU,2022-08-28 16:33:26,-20.3428,57.7575,72.21,88,75,9.22
51,Araouane,ML,2022-08-28 16:33:26,18.9048,-3.5265,96.4,32,52,11.18
52,Srednekolymsk,RU,2022-08-28 16:33:26,67.45,153.6833,53.65,64,86,2.44
53,Busselton,AU,2022-08-28 16:32:47,-33.65,115.3333,49.87,70,95,5.79
54,Longyearbyen,SJ,2022-08-28 16:33:26,78.2186,15.6401,39.04,70,75,6.91
55,Causapscal,CA,2022-08-28 16:33:27,48.3542,-67.227,74.77,39,8,8.12
56,Cidreira,BR,2022-08-28 16:33:27,-30.1811,-50.2056,54.91,57,100,17.11
57,Tiksi,RU,2022-08-28 16:33:27,71.6872,128.8694,40.41,81,29,0.4
58,Vaini,TO,2022-08-28 16:32:47,-21.2,-175.2,69.96,94,20,6.91
59,Bluff,NZ,2022-08-28 16:33:27,-46.6,168.3333,41.47,87,6,5.28
60,Mendi,PG,2022-08-28 16:33:28,-6.1761,143.6513,55.78,98,99,2.77
61,Butaritari,KI,2022-08-28 16:33:28,3.0707,172.7902,80.96,79,44,15.43
62,Port-Gentil,GA,2022-08-28 16:33:28,-0.7193,8.7815,78.76,73,20,10.36
63,Taksimo,RU,2022-08-28 16:33:28,56.3444,114.8794,50.61,91,100,2.48
64,Ancud,CL,2022-08-28 16:33:29,-41.8697,-73.8203,49.6,62,18,5.23
65,Monrovia,LR,2022-08-28 16:31:50,6.3005,-10.7969,75.06,88,100,16.06
66,Brewster,US,2022-08-28 16:33:29,41.3973,-73.6171,79.88,75,100,8.05
67,Viedma,AR,2022-08-28 16:33:29,-40.8135,-62.9967,59.54,19,0,15.41
68,Yellowknife,CA,2022-08-28 16:33:10,62.456,-114.3525,55.92,94,100,11.5
69,Tasiilaq,GL,2022-08-28 16:33:29,65.6145,-37.6368,44.76,95,100,18.79
70,Auki,SB,2022-08-28 16:30:01,-8.7676,160.7034,75.42,90,29,4.88
71,Ushuaia,AR,2022-08-28 16:33:30,-54.8,-68.3,42.46,75,40,6.91
72,Sokoni,TZ,2022-08-28 16:33:30,-6.4333,39.55,75.29,74,37,16.26
73,Sao Filipe,CV,2022-08-28 16:33:30,14.8961,-24.4956,77.99,77,86,12.12
74,Yushala,RU,2022-08-28 16:33:30,57.0761,64.2601,60.55,66,23,3.83
75,Ravar,IR,2022-08-28 16:33:31,31.2656,56.8055,77.16,8,0,8.81
76,Saint George,US,2022-08-28 16:28:54,37.1041,-113.5841,87.44,31,0,6.91
77,Hilo,US,2022-08-28 16:33:29,19.7297,-155.09,78.28,83,75,3.44
78,Tuktoyaktuk,CA,2022-08-28 16:32:49,69.4541,-133.0374,41.0,100,100,8.05
79,Atambua,ID,2022-08-28 16:33:31,-9.1061,124.8925,69.87,86,47,4.54
80,Cape Town,ZA,2022-08-28 16:29:09,-33.9258,18.4232,59.41,60,20,10.36
81,Nizhnyaya Omka,RU,2022-08-28 16:33:31,55.4338,74.9426,57.42,59,1,7.23
82,Whitehorse,CA,2022-08-28 16:33:32,60.7161,-135.0538,47.8,84,20,3.44
83,Arman,RU,2022-08-28 16:33:32,59.7,150.1667,52.02,89,100,7.0
84,Lorengau,PG,2022-08-28 16:33:32,-2.0226,147.2712,80.33,83,79,10.56
85,Cabo San Lucas,MX,2022-08-28 16:30:02,22.8909,-109.9124,89.19,62,40,2.3
86,Dunedin,NZ,2022-08-28 16:30:06,-45.8742,170.5036,48.79,81,35,8.01
87,Hermanus,ZA,2022-08-28 16:33:32,-34.4187,19.2345,54.81,72,11,10.96
88,Kavaratti,IN,2022-08-28 16:33:33,10.5669,72.642,80.73,80,88,19.08
89,Khandbari,NP,2022-08-28 16:33:33,27.3747,87.2039,70.74,93,81,0.72
90,Hobyo,SO,2022-08-28 16:33:33,5.3505,48.5268,75.79,80,6,26.66
91,Willmar,US,2022-08-28 16:30:39,45.1219,-95.0433,73.35,78,100,11.5
92,Kavieng,PG,2022-08-28 16:33:33,-2.5744,150.7967,81.93,79,35,16.26
93,Luderitz,NA,2022-08-28 16:33:34,-26.6481,15.1594,59.9,60,0,26.69
94,Lasa,IT,2022-08-28 16:34:34,46.6166,10.7002,77.88,82,75,1.9
95,Adelaide,AU,2022-08-28 16:32:08,-34.9333,138.6,64.92,44,0,14.97
96,Sao Joao Da Barra,BR,2022-08-28 16:34:34,-21.6403,-41.0511,86.09,70,5,17.34
97,Dikson,RU,2022-08-28 16:34:34,73.5069,80.5464,37.94,97,100,16.28
98,Castro,BR,2022-08-28 16:34:35,-24.7911,-50.0119,78.44,35,48,6.02
99,Asilah,MA,2022-08-28 16:34:35,35.465,-6.0348,85.96,71,30,3.4
100,Nome,US,2022-08-28 16:34:35,64.5011,-165.4064,42.87,76,0,5.75
101,Kampot,KH,2022-08-28 16:34:35,10.6167,104.1833,77.05,88,100,5.93
102,Ponta Do Sol,PT,2022-08-28 16:34:36,32.6667,-17.1,75.0,62,62,4.21
103,Moree,AU,2022-08-28 16:34:36,-29.4667,149.85,52.36,86,1,11.23
104,Chokurdakh,RU,2022-08-28 16:34:36,70.6333,147.9167,45.63,78,88,6.85
105,Port Blair,IN,2022-08-28 16:33:31,11.6667,92.75,80.64,89,40,2.3
106,Peleduy,RU,2022-08-28 16:34:36,59.6289,112.7406,46.53,86,100,9.28
107,Broome,US,2022-08-28 16:34:37,42.2506,-75.833,83.53,66,17,3.0
108,Lebu,CL,2022-08-28 16:33:07,-37.6167,-73.65,54.77,59,0,12.5
109,Saskylakh,RU,2022-08-28 16:34:37,71.9167,114.0833,40.69,68,100,5.55
110,Ajdabiya,LY,2022-08-28 16:34:37,30.7554,20.2263,83.68,64,0,17.29
111,Eureka,US,2022-08-28 16:32:34,40.8021,-124.1637,57.92,88,76,1.01
112,Lagoa,PT,2022-08-28 16:34:38,39.05,-27.9833,71.47,68,100,14.36
113,Rehoboth,NA,2022-08-28 16:34:38,-23.3167,17.0833,70.48,18,0,14.76
114,Iqaluit,CA,2022-08-28 16:34:38,63.7506,-68.5145,47.93,57,75,4.61
115,Waingapu,ID,2022-08-28 16:34:38,-9.6567,120.2641,75.36,85,17,7.14
116,Caravelas,BR,2022-08-28 16:34:39,-17.7125,-39.2481,78.21,63,62,6.24
117,Nanortalik,GL,2022-08-28 16:34:39,60.1432,-45.2371,40.5,94,100,4.83
118,Mar Del Plata,AR,2022-08-28 16:30:04,-38.0023,-57.5575,50.95,61,40,15.99
119,Bredasdorp,ZA,2022-08-28 16:34:39,-34.5322,20.0403,56.52,62,17,9.22
120,Sept-Iles,CA,2022-08-28 16:31:11,50.2001,-66.3821,68.0,67,75,12.66
121,Mahon,ES,2022-08-28 16:32:23,39.8885,4.2658,84.76,51,20,9.22
122,Hobart,AU,2022-08-28 16:34:39,-42.8794,147.3294,49.26,91,75,3.44
123,Binga,ZW,2022-08-28 16:34:40,-17.6203,27.3414,74.26,42,2,4.27
124,Pangody,RU,2022-08-28 16:34:40,65.85,74.4859,42.96,63,100,12.03
125,Trat,TH,2022-08-28 16:34:40,12.5,102.5,82.87,94,94,0.36
126,East London,ZA,2022-08-28 16:31:17,-33.0153,27.9116,65.34,77,0,6.91
127,Saint-Philippe,RE,2022-08-28 16:34:40,-21.3585,55.7679,72.99,88,44,8.77
128,Beringovskiy,RU,2022-08-28 16:34:41,63.05,179.3167,51.39,76,70,2.98
129,Airai,TL,2022-08-28 16:34:41,-8.9266,125.4092,55.99,85,44,2.84
130,Orzhytsya,UA,2022-08-28 16:34:41,49.7918,32.7012,77.22,39,57,6.8
